	Repeatability	Repeatability SE	Fixed r^2	Fixed r^2 SE	cis Heritability	cis Heritability SE
RNASE2	0.374738108	0.011172595	1.53E-05	3.67E-05	0.007881	0.095427
FAM26F	0.378670233	0.01805288	9.54E-06	1.53E-05		
HPSE	0.382531661	0.012536884	9.59E-06	1.95E-05	-0.026688	0.054394
PLA2G4C	0.390662519	0.01341016	1.20E-05	1.91E-05	0.575173	0.099061
MS4A7	0.394163383	0.013414858	7.36E-06	1.09E-05	0.194413	0.095958
SCN9A	0.397080545	0.015795166	1.22E-05	2.26E-05	0.310073	0.103184
FCGR2B	0.397329732	0.014251163	9.69E-06	2.44E-05	0.371639	0.110016
ELP2	0.400495982	0.023199454	1.35E-05	4.18E-05	0.760268	0.062767
CARD9	0.407064639	0.010304386	1.10E-05	1.78E-05		
CSF2RA	0.407868965	0.024968151	1.51E-05	2.35E-05		
NUPR1	0.408644166	0.014580728	8.30E-06	1.90E-05	-0.048297	0.002464
SLC41A2	0.412306355	0.026810712	1.37E-05	2.25E-05	0.423761	0.111587
HK2	0.425901343	0.009334732	7.51E-06	1.04E-05	0.140475	0.096272
ADAMDEC1	0.42905105	0.014156716	9.65E-06	1.70E-05	0.181265	0.097865
FCGR2C	0.431863574	0.013014229	1.02E-05	2.71E-05	0.226527	0.104872
XBP1	0.443509674	0.014927654	8.41E-06	1.48E-05	0.053323	0.062419
CLECL1	0.45106863	0.009525393	1.07E-05	2.08E-05	0.489289	0.103101
CCDC109B	0.453260679	0.010109654	8.82E-06	1.99E-05	0.043115	0.074064
CCR7	0.458293643	0.013164505	8.14E-06	1.10E-05	-0.035792	0.023218
REL	0.461167101	0.012865622	1.18E-05	1.97E-05	0.047972	0.066833
CASS4	0.470713576	0.013142452	1.57E-05	2.18E-05	0.011407	0.082494
NOD2	0.481543587	0.010907483	8.23E-06	1.39E-05	0.285307	0.110061
CCL7	0.486076513	0.011991463	1.40E-05	2.72E-05	0.218234	0.114619
PLAU	0.488686245	0.0127373	1.42E-05	2.83E-05	-0.015327	0.006122
ADORA3	0.49550901	0.014650222	8.85E-06	1.68E-05	0.030932	0.0828
CTSH	0.498466527	0.024248878	1.28E-05	4.36E-05	0.523675	0.103612
KLF4	0.499099683	0.010736372	1.21E-05	2.35E-05		
NFKBIA	0.517191073	0.019698389	1.53E-05	3.05E-05	-0.056519	0.004107
RRS1	0.518780683	0.016688928	9.58E-06	1.43E-05	0.060218	0.062654
ERAP1	0.52205602	0.015480792	8.60E-06	1.25E-05	0.658643	0.080944
GBP3	0.524405728	0.019884551	1.09E-05	2.52E-05	0.855539	0.040226
LILRA3	0.528026533	0.013374548	1.04E-05	1.03E-05	-0.061617	0.089437
APOL3	0.531350856	0.018273682	1.31E-05	3.69E-05	-0.06045	0.06063
PI4K2B	0.535494498	0.019451797	8.28E-06	2.62E-05	0.152179	0.107275
NFKB2	0.537622023	0.008437617	1.47E-05	2.54E-05	-0.016334	0.022405
PTK2B	0.544601299	0.006592059	9.38E-06	1.33E-05	0.723081	0.078333
CREM	0.553858259	0.009474308	8.25E-06	1.08E-05	0.071784	0.072773
TNFAIP3	0.567757899	0.01092907	1.36E-05	2.56E-05	0.053034	0.084891
WDFY4	0.5724671	0.011185549	1.27E-05	1.58E-05	-0.061829	0.024304
TRAF1	0.582640298	0.012782642	1.16E-05	2.17E-05	0.144229	0.089693
STAP1	0.586449079	0.019494917	9.92E-06	2.14E-05	0.738417	0.064231
FCGR3A	0.588254038	0.011054568	8.96E-06	1.74E-05	-0.062033	0.039617
GADD45A	0.598318331	0.014372601	1.39E-05	2.33E-05	-0.003487	0.065798
TNF	0.61166975	0.008061837	1.59E-05	2.88E-05		
MSR1	0.630476128	0.007974414	9.10E-06	1.21E-05	0.444901	0.114638
CD14	0.672953573	0.008725494	8.41E-06	1.48E-05	-0.043438	0.001662
NFXL1	0.715014538	0.013496486	9.31E-06	1.23E-05	0.44674	0.101664
ERAP2	0.789941631	0.008736341	1.14E-05	1.38E-05	0.742768	0.06491
LGALS2	0.812163644	0.004947227	9.58E-06	1.05E-05	0.880792	0.048778
GSTT1	0.821405286	0.008368423	8.73E-06	1.17E-05	0.671244	0.08191
SLFN5	0.84108804	0.002969124	8.46E-06	1.16E-05	0.802822	0.060833
