	var.inter.prop	var.inter.prop.mean	var.inter.prop.sd	var.intra.prop	var.intra.prop.mean	var.intra.prop.sd	var.fixed.prop	var.fixed.prop.mean	var.fixed.prop.sd			
STAT3	0.290937448	0.290845929	0.00811808	0.709062552	0.709154071	0.00811808	1.54E-07	4.32E-06	9.01E-06	STAT3	0.066194	0.065739
STAT4	0.436139827	0.436488115	0.011870261	0.563860173	0.563511885	0.011870261	4.55E-07	4.64E-06	1.25E-05	STAT4	0.171008	0.096212
STAT6	0.290119605	0.290577266	0.01008962	0.709880395	0.709422734	0.01008962	1.54E-08	2.15E-06	4.10E-06	STAT6	0.034066	0.052937
STEAP4	0.846635993	0.846622611	0.003327334	0.153364007	0.153377389	0.003327334	1.67E-07	2.07E-06	5.99E-06	STEAP4	0.709234	0.070762
TAB1	0.079780197	0.079777679	0.006075749	0.920219803	0.920222321	0.006075749	2.34E-07	5.09E-06	1.47E-05	TAB1	0.067209	0.074041
TAB2	0.001931746	0.003009121	0.004681888	0.998068254	0.996990879	0.004681888	1.62E-07	5.03E-06	1.63E-05	TAB2	0.23071	0.113925
TAB3	0.18386126	0.184092052	0.006775713	0.81613874	0.815907948	0.006775713	2.13E-06	5.37E-06	6.82E-06			
TANK	0.257333875	0.258115167	0.014054577	0.742666125	0.741884833	0.014054577	9.50E-08	4.14E-06	8.51E-06	TANK	-0.028793	0.028976
TBK1	0.134280298	0.134406466	0.00668759	0.865719702	0.865593534	0.00668759	6.92E-07	6.09E-06	1.56E-05	TBK1	0.121096	0.084879
TEC	0.344537014	0.344538215	0.009349925	0.655462986	0.655461785	0.009349925	8.17E-10	3.79E-06	1.01E-05	TEC	0.130067	0.084944
TGFB1	0.357543139	0.357108035	0.007485539	0.642456861	0.642891965	0.007485539	7.91E-08	3.63E-06	5.57E-06	TGFB1	0.032882	0.065391
TICAM1	0.142004688	0.142540737	0.009873009	0.857995312	0.857459263	0.009873009	2.49E-09	3.58E-06	1.05E-05	TICAM1	0.013798	0.085114
TIRAP	0.153616587	0.153715213	0.008132886	0.846383413	0.846284787	0.008132886	9.07E-07	4.21E-06	1.01E-05	TIRAP	0.167983	0.105859
TLK2	0.158521733	0.158606513	0.009649743	0.841478267	0.841393487	0.009649743	3.51E-10	3.16E-06	7.13E-06	TLK2	-0.023698	0.034102
TLR1	0.361181331	0.361554562	0.013619539	0.638818669	0.638445438	0.013619539	1.02E-06	4.53E-06	7.14E-06	TLR1	0.02557	0.072015
TLR2	0.292509474	0.292751543	0.016552155	0.707490526	0.707248457	0.016552155	6.65E-08	5.34E-06	2.23E-05	TLR2	0.068712	0.084364
TLR3	0.231087072	0.230976321	0.00971203	0.768912928	0.769023679	0.00971203	6.55E-07	5.19E-06	1.18E-05	TLR3	0.107739	0.107095
TLR4	0.343636282	0.343605069	0.010468766	0.656363718	0.656394931	0.010468766	2.50E-08	3.29E-06	5.25E-06	TLR4	0.006389	0.069597
TLR5	0.408688202	0.408675469	0.010217596	0.591311798	0.591324531	0.010217596	2.96E-08	3.64E-06	7.14E-06	TLR5	0.017364	0.060049
TLR6	0.086342636	0.086417733	0.012927086	0.913657364	0.913582267	0.012927086	2.58E-07	4.97E-06	1.13E-05	TLR6	0.153147	0.099197
TLR7	0.279427776	0.279284412	0.015097953	0.720572224	0.720715588	0.015097953	1.01E-09	4.70E-06	1.91E-05			
TLR8	0.479178713	0.479430281	0.009461605	0.520821287	0.520569719	0.009461605	1.51E-06	4.67E-06	5.73E-06			
TLR9	0.187126138	0.186740179	0.020922694	0.812873862	0.813259821	0.020922694	9.02E-08	5.24E-06	3.95E-05	TLR9	-0.011319	0.011436
TMED7	0.033645094	0.033483878	0.006548784	0.966354906	0.966516122	0.006548784	3.47E-07	3.25E-06	5.76E-06	TMED7	-0.031599	0.044206
TMEM173	0.503983032	0.503892466	0.006300459	0.496016968	0.496107534	0.006300459	4.27E-07	3.56E-06	5.75E-06	TMEM173	-0.023446	0.017544
TMEM178	0.142589927	0.141112968	0.014442616	0.857410073	0.858887032	0.014442616	2.25E-08	3.60E-06	2.61E-05	TMEM178	0.063255	0.071355
TMEM217	0.287853462	0.288323898	0.034526627	0.712146538	0.711676102	0.034526627	1.57E-08	2.82E-06	1.06E-05	TMEM217	0.106061	0.095911
TMEM229B	0.325116086	0.325364919	0.013766889	0.674883914	0.674635081	0.013766889	1.35E-07	2.96E-06	4.62E-06	TMEM229B	0.454926	0.102153
TMEM86A	0.329517835	0.329046381	0.010631546	0.670482165	0.670953619	0.010631546	2.04E-07	3.97E-06	6.94E-06	TMEM86A	0.062438	0.084236
TMPRSS13	0.53297303	0.533027075	0.007910813	0.46702697	0.466972925	0.007910813	4.30E-06	7.68E-06	6.70E-06	TMPRSS13	-0.014689	0.061412
TNC	0.12126027	0.121282135	0.008450454	0.87873973	0.878717865	0.008450454	1.04E-07	4.13E-06	1.11E-05	TNC	0.049112	0.083596
TNF	0.164439485	0.165179598	0.022357712	0.835560515	0.834820402	0.022357712	9.61E-08	5.54E-06	2.83E-05	TNF	0.064116	0.067735
TNFAIP3	0.232277341	0.232599631	0.01584679	0.767722659	0.767400369	0.01584679	1.46E-09	4.92E-06	1.70E-05	TNFAIP3	-0.054558	0.05421
TNFRSF10A	0.208565112	0.208701378	0.006720464	0.791434888	0.791298622	0.006720464	1.40E-07	3.03E-06	4.45E-06	TNFRSF10A	0.471676	0.11014
TNFRSF1A	0.402074102	0.402198303	0.009056549	0.597925898	0.597801697	0.009056549	4.68E-08	3.49E-06	5.05E-06	TNFRSF1A	-0.078319	0.046666
TNFSF10	0.197133877	0.198153642	0.023027865	0.802866123	0.801846358	0.023027865	1.43E-09	8.47E-06	5.55E-05	TNFSF10	-0.01225	0.067015
TNFSF15	0.236800231	0.237177538	0.014937799	0.763199769	0.762822462	0.014937799	6.18E-08	4.77E-06	1.67E-05	TNFSF15	0.070174	0.087299
TNFSF8	0.270044583	0.270444451	0.006660013	0.729955417	0.729555549	0.006660013	3.98E-08	1.08E-05	7.12E-05	TNFSF8	-0.007228	0.069895
TNIP3	0.656049248	0.65610796	0.011007122	0.343950752	0.34389204	0.011007122	4.40E-07	3.68E-06	1.46E-05	TNIP3	-0.084244	0.018366
TRAF1	0.161625559	0.161954994	0.016846918	0.838374441	0.838045006	0.016846918	5.22E-10	6.52E-06	2.15E-05	TRAF1	0.031234	0.060162
TRAF3	0.111466658	0.111143489	0.006182218	0.888533342	0.888856511	0.006182218	5.22E-07	4.26E-06	1.12E-05	TRAF3	0.115284	0.08235
TRAF3IP2	0.125019432	0.124795319	0.00634975	0.874980568	0.875204681	0.00634975	5.75E-07	1.16E-05	6.01E-05	TRAF3IP2	0.045904	0.064665
TRAF6	0.270829418	0.27050703	0.005747016	0.729170582	0.72949297	0.005747016	2.55E-07	3.55E-06	6.73E-06	TRAF6	0.055502	0.084061
TRIM25	0.1330366	0.133450803	0.009052162	0.8669634	0.866549197	0.009052162	2.86E-08	5.55E-06	2.65E-05	TRIM25	0.019311	0.08427
TRIM56	0.126117324	0.126231095	0.010788416	0.873882676	0.873768905	0.010788416	3.00E-08	4.83E-06	1.91E-05	TRIM56	-0.019622	0.037543
TSPAN13	0.133611999	0.133218868	0.016561448	0.866388001	0.866781132	0.016561448	3.86E-07	3.79E-06	6.65E-06	TSPAN13	0.041464	0.082281
TTC39B	0.638950766	0.638984269	0.007427841	0.361049234	0.361015731	0.007427841	2.00E-07	4.68E-06	1.48E-05	TTC39B	0.786017	0.078923
TWIST1	0.048516526	0.048986813	0.016792794	0.951483474	0.951013187	0.016792794	1.28E-08	1.82E-06	8.91E-06	TWIST1	-0.068219	0.043757
TYK2	0.332935929	0.333325453	0.008776442	0.667064071	0.666674547	0.008776442	4.26E-07	4.28E-06	7.68E-06	TYK2	0.031901	0.066209
UBE2E1	0.174785874	0.173092462	0.017672961	0.825214126	0.826907538	0.017672961	1.49E-07	6.19E-06	2.48E-05	UBE2E1	-0.010608	0.059613
UBE2N	0.132438896	0.133064943	0.028589845	0.867561104	0.866935057	0.028589845	2.70E-08	1.70E-06	7.22E-06	UBE2N	0.038828	0.084617
UNC5C	0.146102088	0.145932921	0.021714941	0.853897912	0.854067079	0.021714941	8.32E-09	3.16E-06	1.24E-05	UNC5C	-0.051947	0.037773
UNC93B1	0.198569397	0.198813797	0.008894165	0.801430603	0.801186203	0.008894165	1.21E-06	5.07E-06	8.88E-06	UNC93B1	0.019922	0.050205
UNKL	0.166826379	0.16726101	0.017396392	0.833173621	0.83273899	0.017396392	1.37E-07	3.35E-06	8.82E-06	UNKL	-0.063784	0.030841
UST	0.201156664	0.200237382	0.009764035	0.798843336	0.799762618	0.009764035	7.32E-09	5.25E-06	2.10E-05	UST	-0.071201	0.012533
VAV2	0.183947711	0.184214077	0.006948472	0.816052289	0.815785923	0.006948472	3.69E-07	4.07E-06	7.17E-06	VAV2	0.155202	0.116332
VCAM1	0.214577554	0.213329002	0.016498173	0.785422446	0.786670998	0.016498173	7.19E-08	6.60E-06	4.42E-05	VCAM1	0.132853	0.087445
VCAN	0.492894559	0.492605653	0.008193461	0.507105441	0.507394347	0.008193461	1.59E-06	5.13E-06	8.06E-06	VCAN	0.50539	0.102715
WDFY4	0.543013621	0.543020168	0.008429257	0.456986379	0.456979832	0.008429257	1.67E-06	4.48E-06	5.57E-06	WDFY4	-0.078268	0.005771
XBP1	0.589379669	0.58936605	0.006603351	0.410620331	0.41063395	0.006603351	4.75E-07	4.64E-06	1.09E-05	XBP1	0.132228	0.082563
ZFP57	0.666634536	0.666691673	0.007069939	0.333365464	0.333308327	0.007069939	3.84E-07	4.36E-06	7.40E-06	ZFP57	0.686151	0.078375
ZFY	0.224217894	0.224273693	0.009353682	0.775782106	0.775726307	0.009353682	7.17E-09	7.46E-06	3.06E-05			
ZFYVE16	0.397169022	0.39729948	0.009627284	0.602830978	0.60270052	0.009627284	5.20E-07	3.40E-06	5.78E-06	ZFYVE16	0.360941	0.111175
ZNF280D	0.226038356	0.225986359	0.008340531	0.773961644	0.774013641	0.008340531	9.53E-07	4.77E-06	6.73E-06	ZNF280D	0.0318	0.063816
ZNF513	0.053124577	0.053458513	0.007977336	0.946875423	0.946541487	0.007977336	6.35E-07	4.86E-06	1.23E-05	ZNF513	0.01696	0.045995
