	Repeatability	Repeatability SE	Fixed r^2	Fixed r^2 SE	cis Heritability	cis Heritability SE
IFI44	0.438533057	0.010794608	5.30E-06	1.51E-05	0.017478	0.08183
PHLDA1	0.446112646	0.00979917	3.17E-06	5.16E-06	0.067391	0.093943
NLRP3	0.454869902	0.007890048	4.11E-06	1.04E-05	0.332193	0.106961
IRAK3	0.458763314	0.009146385	3.81E-06	8.36E-06	0.046719	0.08055
PLAU	0.45989564	0.008253435	3.36E-06	4.30E-06	0.342904	0.111698
ITGB8	0.461211703	0.010916334	3.99E-06	7.86E-06	-0.047238	0.000145
LYZ	0.462706159	0.007886964	3.79E-06	6.11E-06	0.124592	0.086201
MAP3K8	0.463252018	0.010023159	4.54E-06	8.20E-06	0.123797	0.099059
OAS1	0.464766626	0.009487803	4.57E-06	1.32E-05	0.160286	0.12365
HK2	0.469368065	0.00791764	3.95E-06	6.44E-06	0.064657	0.087963
SLC44A2	0.469948125	0.014389361	7.82E-06	3.72E-05	0.494381	0.098539
CD93	0.470298795	0.008897515	3.63E-06	5.79E-06	0.041917	0.068972
CLEC5A	0.473915964	0.008900911	7.33E-06	3.23E-05	-0.015113	0.039935
ORMDL3	0.476186586	0.006442352	3.79E-06	7.12E-06	0.066194	0.065739
CASS4	0.476390593	0.007322363	3.54E-06	3.88E-06	0.171008	0.096212
TLR8	0.479430281	0.009461605	4.67E-06	5.73E-06	0.034066	0.052937
P2RY13	0.480933145	0.009677657	4.76E-06	5.77E-06	0.709234	0.070762
GPR68	0.48132433	0.007698774	2.72E-06	4.33E-06	0.067209	0.074041
ADORA3	0.483318765	0.008975015	5.09E-06	8.40E-06	0.23071	0.113925
GFRA2	0.484762829	0.007536225	3.54E-06	5.31E-06		
GBP3	0.485769365	0.014571603	3.98E-06	8.48E-06	-0.028793	0.028976
EPSTI1	0.490225729	0.00772177	4.08E-06	8.84E-06	0.121096	0.084879
GADD45A	0.490627977	0.008447168	4.38E-06	5.61E-06	0.130067	0.084944
IL18	0.490682539	0.00727043	4.01E-06	7.24E-06	0.032882	0.065391
CREM	0.490825719	0.008846975	3.42E-06	5.58E-06	0.013798	0.085114
SPRY2	0.49214054	0.006845074	3.82E-06	6.35E-06	0.167983	0.105859
VCAN	0.492605653	0.008193461	5.13E-06	8.06E-06	-0.023698	0.034102
CLEC4F	0.499646689	0.012907291	3.32E-06	7.57E-06	0.02557	0.072015
HMGB2	0.500607943	0.007301236	3.44E-06	6.26E-06	0.068712	0.084364
TMEM173	0.503892466	0.006300459	3.56E-06	5.75E-06	0.107739	0.107095
ATP13A3	0.506764852	0.007887677	3.29E-06	7.65E-06	0.006389	0.069597
CD3E	0.507009661	0.012696877	4.22E-06	1.06E-05	0.017364	0.060049
IL1RN	0.512781357	0.010126317	3.76E-06	7.27E-06	0.153147	0.099197
SCN9A	0.522712774	0.009083758	4.90E-06	6.37E-06		
MX1	0.526893284	0.007841286	4.47E-06	9.90E-06		
FCGR2B	0.527909638	0.009021602	3.05E-06	5.25E-06	-0.011319	0.011436
TMPRSS13	0.533027075	0.007910813	7.68E-06	6.70E-06	-0.031599	0.044206
WDFY4	0.543020168	0.008429257	4.48E-06	5.57E-06	-0.023446	0.017544
IFI27	0.544517345	0.010893259	6.98E-06	2.78E-05	0.063255	0.071355
STAT1	0.54564878	0.007006643	3.29E-06	6.28E-06	0.106061	0.095911
FCGR2C	0.549831938	0.00859849	3.13E-06	5.07E-06	0.454926	0.102153
PLA2G4C	0.552761903	0.009833679	4.67E-06	7.59E-06	0.062438	0.084236
LRMP	0.560660119	0.005853493	5.01E-06	4.71E-06	-0.014689	0.061412
FCGR3A	0.561519572	0.009363223	3.44E-06	4.65E-06	0.049112	0.083596
LHFP	0.563218157	0.009237498	1.98E-06	2.64E-06	0.064116	0.067735
C15orf48	0.575469849	0.007485189	3.65E-06	6.36E-06	-0.054558	0.05421
FAM26F	0.577263177	0.006449535	5.23E-06	1.17E-05	0.471676	0.11014
RNASE2	0.579715251	0.00692733	5.01E-06	1.31E-05	-0.078319	0.046666
CYBRD1	0.580587184	0.008001196	3.85E-06	6.66E-06	-0.01225	0.067015
MS4A7	0.580636508	0.007227975	3.03E-06	4.69E-06	0.070174	0.087299
IFITM3	0.58526628	0.006959884	4.16E-06	6.49E-06	-0.007228	0.069895
CD14	0.586364687	0.008534271	3.03E-06	4.41E-06	-0.084244	0.018366
XBP1	0.58936605	0.006603351	4.64E-06	1.09E-05	0.031234	0.060162
ELP2	0.590026111	0.005767357	4.40E-06	5.50E-06	0.115284	0.08235
SLC1A3	0.590725771	0.007134775	4.18E-06	1.05E-05	0.045904	0.064665
FOS	0.596157939	0.010937236	2.93E-06	4.77E-06	0.055502	0.084061
ERAP1	0.597620874	0.009345118	3.95E-06	5.59E-06	0.019311	0.08427
CTSH	0.608569631	0.010478574	4.47E-06	7.42E-06	-0.019622	0.037543
OLR1	0.612981922	0.00676196	8.51E-06	4.36E-05	0.041464	0.082281
CD24	0.615756004	0.006162637	4.09E-06	4.97E-06	0.786017	0.078923
CD48	0.627202773	0.005660216	3.36E-06	5.53E-06	-0.068219	0.043757
LILRA3	0.629416965	0.006461672	4.49E-06	5.92E-06	0.031901	0.066209
TTC39B	0.638984269	0.007427841	4.68E-06	1.48E-05	-0.010608	0.059613
MSR1	0.640902047	0.006267003	4.00E-06	8.16E-06	0.038828	0.084617
C3	0.644342178	0.009550624	3.98E-06	1.33E-05	-0.051947	0.037773
TNIP3	0.65610796	0.011007122	3.68E-06	1.46E-05	0.019922	0.050205
CLEC4E	0.656300834	0.007147179	4.73E-06	1.95E-05	-0.063784	0.030841
ETS2	0.656720965	0.007026499	3.05E-06	7.76E-06	-0.071201	0.012533
AQP9	0.659511987	0.008271345	4.52E-06	6.42E-06	0.155202	0.116332
ZFP57	0.666691673	0.007069939	4.36E-06	7.40E-06	0.132853	0.087445
NFXL1	0.676893899	0.00523844	3.72E-06	5.07E-06	0.50539	0.102715
MMP10	0.696468469	0.007822515	4.99E-06	9.50E-06	-0.078268	0.005771
ALOX15B	0.719439947	0.005560953	4.60E-06	1.25E-05	0.132228	0.082563
ADAMDEC1	0.767196955	0.004457889	5.07E-06	1.48E-05	0.686151	0.078375
LGALS2	0.839423297	0.002686315	4.24E-06	8.23E-06		
STEAP4	0.846622611	0.003327334	2.07E-06	5.99E-06	0.360941	0.111175
ERAP2	0.861530652	0.002651614	4.77E-06	5.94E-06	0.0318	0.063816
GSTT1	0.902379959	0.001904365	3.35E-06	4.10E-06	0.01696	0.045995
